session_id,failed_logins,login_attempts,ip_reputation_score,protocol_type,encryption_used,browser_type,session_duration,rule_of_record,reasons,severity,severity_rank
SID_05038,5,2,0.7454746456559356,TCP,None,Edge,437.3611696467069,R5,"R3,R5",High,3
SID_02801,5,3,0.703728461510033,TCP,AES,Firefox,714.6780781846008,R5,"R5,R6",High,3
SID_08636,5,4,0.6939481071729593,ICMP,DES,Chrome,236.7387929232124,R5,"R2,R3,R5",High,3
SID_00873,5,7,0.6489012449956998,TCP,DES,Firefox,38.250847865728346,R5,"R3,R5",High,3
SID_03834,5,4,0.6156391183175601,TCP,AES,Chrome,470.6735103209337,R5,R5,High,3
SID_00770,5,8,0.5904979912868378,TCP,DES,Edge,235.5784854885032,R5,"R1,R3,R5",High,3
SID_08571,5,1,0.5807820357937284,TCP,AES,Chrome,2071.434982105696,R5,R5,High,3
SID_08611,5,6,0.528792979882204,UDP,AES,Firefox,4694.9509490933615,R5,"R4,R5",High,3
SID_03917,5,1,0.5017566630836757,UDP,DES,Chrome,2298.489541241207,R5,"R3,R5",High,3
SID_07020,5,3,0.4954446670038522,TCP,DES,Chrome,565.2668423987488,R5,"R3,R5",High,3
SID_08873,5,5,0.4894763927899409,UDP,AES,Unknown,261.6561694497788,R5,"R1,R5,R8",High,3
SID_08953,5,4,0.4466898681192132,TCP,AES,Chrome,1013.3035498701162,R5,R5,High,3
SID_01998,5,6,0.4372880924359461,TCP,None,Chrome,1555.821910995,R5,"R3,R5",High,3
SID_05258,5,2,0.4107876887811487,ICMP,DES,Chrome,203.00312778005693,R5,"R2,R3,R5",High,3
SID_02858,5,3,0.3695864342404419,UDP,AES,Unknown,445.2349890606747,R5,"R5,R8",High,3
SID_06222,5,6,0.3587615016840196,TCP,AES,Chrome,948.0893901410428,R5,"R5,R6",High,3
SID_08218,5,6,0.3526419918434376,TCP,AES,Firefox,538.3194476580645,R5,"R1,R5,R6",High,3
SID_06858,5,1,0.3355195555092659,TCP,DES,Edge,195.18030783271988,R5,"R3,R5,R6",High,3
SID_03233,5,3,0.3105513578761116,UDP,AES,Edge,1376.8304628244798,R5,"R5,R6",High,3
SID_09066,5,2,0.3063161668450085,TCP,None,Safari,7141.336086110276,R5,"R3,R4,R5",High,3
SID_08428,5,1,0.2552257986358684,TCP,AES,Chrome,179.94313309043906,R5,R5,High,3
SID_07395,5,5,0.2514327112225498,TCP,AES,Chrome,1873.200239315436,R5,R5,High,3
SID_05674,5,2,0.2352472643239913,TCP,AES,Firefox,26.98044005156925,R5,"R1,R5",High,3
